Size,Method,File,LoadMs,EncryptMs,SumMs,DecryptMs,TotalMs,CPUTimeNs,CPUPercent,HeapBefore,HeapAfter,NumVotes,ThroughputVps,LatencyMsPerVote,CipherSizeBytes,Success,Error
500,Paillier,benchmarks_data\500\500_16.txt,2.890,943.978,36.112,2.783,987.271,14015625000,92.796,1404456,3465296,500,506.447,1.974542,256,true,
500,Paillier,benchmarks_data\500\500_08.txt,15.542,894.907,222.803,2.702,1137.749,13250000000,92.538,1377816,3147192,500,439.464,2.275499,256,true,
500,Paillier,benchmarks_data\500\500_23.txt,17.917,1165.657,32.752,2.782,1228.828,17296875000,92.742,1500416,2750512,500,406.892,2.457656,256,true,
500,Paillier,benchmarks_data\500\500_22.txt,11.987,1190.432,141.436,3.414,1356.252,17859375000,93.765,1486296,3453320,500,368.663,2.712504,256,true,
500,Paillier,benchmarks_data\500\500_04.txt,12.864,782.221,342.836,2.796,1159.289,11718750000,93.634,1489360,3122168,500,431.299,2.318578,256,true,
500,Paillier,benchmarks_data\500\500_18.txt,17.812,1340.209,115.062,2.647,1484.772,20078125000,93.633,1584368,2798912,500,336.752,2.969544,256,true,
500,Paillier,benchmarks_data\500\500_25.txt,31.096,1443.131,90.944,2.731,1587.385,21546875000,93.317,1216784,2530344,500,314.983,3.174770,256,true,
500,Paillier,benchmarks_data\500\500_17.txt,27.249,1656.244,38.497,2.826,1743.877,23328125000,88.031,1213944,2096336,500,286.718,3.487753,256,true,
500,Paillier,benchmarks_data\500\500_13.txt,8.746,1721.103,69.468,2.742,1804.305,24046875000,87.324,1385912,5677608,500,277.115,3.608609,256,true,
500,Paillier,benchmarks_data\500\500_07.txt,15.584,1688.791,214.793,7.285,1949.742,23734375000,87.838,1229976,2523144,500,256.444,3.899484,256,true,
500,Paillier,benchmarks_data\500\500_24.txt,23.324,1687.144,240.101,2.537,1971.113,23734375000,87.924,1213944,2472168,500,253.664,3.942226,256,true,
500,Paillier,benchmarks_data\500\500_14.txt,17.892,1718.046,471.901,3.173,2220.391,24109375000,87.706,1710400,3144656,500,225.186,4.440782,256,true,
500,Paillier,benchmarks_data\500\500_20.txt,12.591,1698.273,219.534,2.872,1951.839,23984375000,88.267,1439968,2482760,500,256.169,3.903677,256,true,
500,Paillier,benchmarks_data\500\500_15.txt,27.311,1689.647,481.938,83.559,2301.189,23734375000,87.793,1295680,2947856,500,217.279,4.602379,256,true,
500,Paillier,benchmarks_data\500\500_11.txt,27.229,1557.654,613.378,250.908,2468.904,23218750000,93.164,1434568,2754000,500,202.519,4.937808,256,true,
500,Paillier,benchmarks_data\500\500_03.txt,1.700,799.282,40.807,2.879,858.131,9921875000,77.584,2237416,2070176,500,582.661,1.716262,256,true,
500,Paillier,benchmarks_data\500\500_02.txt,0.808,891.823,52.198,1.424,947.387,10625000000,74.461,2158392,1762064,500,527.768,1.894773,256,true,
500,Paillier,benchmarks_data\500\500_05.txt,7.314,883.444,30.180,5.071,927.303,10937500000,77.378,2144264,1589064,500,539.198,1.854606,256,true,
500,Paillier,benchmarks_data\500\500_10.txt,6.952,877.965,35.966,11.018,932.988,10828125000,77.083,2157856,1610488,500,535.913,1.865975,256,true,
500,Paillier,benchmarks_data\500\500_09.txt,1.123,850.859,83.921,16.048,952.929,10359375000,76.095,2119416,1892808,500,524.698,1.905859,256,true,
500,Paillier,benchmarks_data\500\500_01.txt,1.115,902.478,60.092,2.838,967.393,10953125000,75.855,2119720,1992512,500,516.853,1.934786,256,true,
500,Paillier,benchmarks_data\500\500_06.txt,0.985,930.692,92.660,2.596,1027.745,10890625000,73.135,2259624,1940712,500,486.502,2.055490,256,true,
500,Paillier,benchmarks_data\500\500_21.txt,0.843,362.015,27.687,1.327,393.296,4718750000,81.467,1527168,1664544,500,1271.306,0.786592,256,true,
500,Paillier,benchmarks_data\500\500_12.txt,1.318,364.040,38.980,1.187,407.021,4718750000,81.014,1527168,1517680,500,1228.438,0.814042,256,true,
500,Paillier,benchmarks_data\500\500_19.txt,1.112,342.790,73.333,1.187,419.859,4484375000,81.763,1580616,1457016,500,1190.875,0.839719,256,true,
500,ElGamal,benchmarks_data\500\500_16.txt,3.514,96.870,14.336,0.184,116.994,109375000,7.057,1555448,2588032,500,4273.716,0.233988,8,true,
500,ElGamal,benchmarks_data\500\500_05.txt,30.241,65.964,22.066,0.044,130.460,78125000,7.402,1844224,1956272,500,3832.584,0.260921,8,true,
500,ElGamal,benchmarks_data\500\500_25.txt,32.372,57.713,15.928,0.044,134.770,46875000,5.076,1812496,2008896,500,3710.013,0.269541,8,true,
500,ElGamal,benchmarks_data\500\500_01.txt,17.557,99.380,25.160,0.028,146.033,93750000,5.896,1710520,1906808,500,3423.879,0.292066,8,true,
500,ElGamal,benchmarks_data\500\500_10.txt,19.937,97.596,21.573,0.102,151.081,234375000,15.009,1812496,1888912,500,3309.474,0.302163,8,true,
500,ElGamal,benchmarks_data\500\500_04.txt,17.217,100.564,23.948,0.044,145.766,93750000,5.827,1859880,1906808,500,3430.153,0.291532,8,true,
500,ElGamal,benchmarks_data\500\500_03.txt,26.401,82.608,38.563,0.065,159.853,78125000,5.911,2217528,1792744,500,3127.872,0.319706,8,true,
500,ElGamal,benchmarks_data\500\500_11.txt,30.607,78.643,38.211,0.048,159.452,78125000,6.209,1855200,1787776,500,3135.750,0.318903,8,true,
500,ElGamal,benchmarks_data\500\500_20.txt,26.884,93.982,20.658,0.021,170.504,234375000,15.586,2101928,1779176,500,2932.479,0.341008,8,true,
500,ElGamal,benchmarks_data\500\500_02.txt,31.146,102.064,27.661,0.054,172.538,250000000,15.309,2021592,1806936,500,2897.917,0.345075,8,true,
500,ElGamal,benchmarks_data\500\500_08.txt,11.858,146.467,23.905,0.055,184.450,312500000,13.335,1710520,1643128,500,2710.765,0.368900,8,true,
500,ElGamal,benchmarks_data\500\500_14.txt,32.535,119.128,16.145,0.044,197.068,250000000,13.116,2168072,1535080,500,2537.197,0.394136,8,true,
500,ElGamal,benchmarks_data\500\500_18.txt,1.041,66.425,14.787,0.051,83.073,62500000,5.881,2117400,1683720,500,6018.824,0.166145,8,true,
500,ElGamal,benchmarks_data\500\500_06.txt,25.972,144.846,32.637,0.052,215.425,281250000,12.136,1892728,1696000,500,2320.993,0.430850,8,true,
500,ElGamal,benchmarks_data\500\500_12.txt,38.061,121.161,25.659,0.076,214.524,265625000,13.702,2130336,1709928,500,2330.746,0.429047,8,true,
500,ElGamal,benchmarks_data\500\500_23.txt,26.043,152.279,32.831,0.057,222.416,296875000,12.185,1891352,1778488,500,2248.041,0.444832,8,true,
500,ElGamal,benchmarks_data\500\500_15.txt,25.397,64.154,12.169,0.059,102.995,62500000,6.089,1629840,1911320,500,4854.609,0.205990,8,true,
500,ElGamal,benchmarks_data\500\500_07.txt,24.580,62.712,18.632,0.073,107.827,62500000,6.229,1589928,1687400,500,4637.079,0.215653,8,true,
500,ElGamal,benchmarks_data\500\500_09.txt,14.525,62.960,17.204,0.054,112.764,62500000,6.204,1584296,1522712,500,4434.047,0.225528,8,true,
500,ElGamal,benchmarks_data\500\500_24.txt,18.256,80.381,14.013,0.041,120.908,187500000,14.579,1656344,1467240,500,4135.393,0.241815,8,true,
500,ElGamal,benchmarks_data\500\500_13.txt,52.238,28.792,21.331,0.044,127.284,140625000,30.526,1717056,1487248,500,3928.236,0.254567,8,true,
500,ElGamal,benchmarks_data\500\500_19.txt,8.381,86.458,21.965,0.054,134.535,265625000,19.202,1652896,1469152,500,3716.508,0.269070,8,true,
500,ElGamal,benchmarks_data\500\500_22.txt,33.396,53.654,28.714,0.037,140.417,156250000,18.201,1726176,1519560,500,3560.830,0.280833,8,true,
500,ElGamal,benchmarks_data\500\500_17.txt,33.360,53.430,28.931,0.018,141.368,156250000,18.277,1745648,1492288,500,3536.871,0.282736,8,true,
500,ElGamal,benchmarks_data\500\500_21.txt,46.286,46.603,34.156,0.057,151.600,281250000,37.719,1792272,1466200,500,3298.151,0.303200,8,true,
5000,Paillier,benchmarks_data\5K\5K_21.txt,56.834,19072.929,745.791,4.538,19890.231,292390625000,95.813,1913616,5547360,5000,251.380,3.978046,256,true,
